Date,Population (P),Cumulative_cases,Cumulative_deaths
7/7/2020 0:00,10257557,140378,3953
7/8/2020 0:00,10257557,143957,3992
7/9/2020 0:00,10257557,147164,4028
7/10/2020 0:00,10257557,150424,4071
7/11/2020 0:00,10257557,152847,4105
7/12/2020 0:00,10257557,154565,4135
7/13/2020 0:00,10257557,157990,4193
7/14/2020 0:00,10257557,161224,4243
7/15/2020 0:00,10257557,164363,4283
7/16/2020 0:00,10257557,167831,4331
7/17/2020 0:00,10257557,171055,4369
7/18/2020 0:00,10257557,173428,4401
7/19/2020 0:00,10257557,174874,4440
7/20/2020 0:00,10257557,178320,4482
7/21/2020 0:00,10257557,181283,4528
7/22/2020 0:00,10257557,184271,4580
7/23/2020 0:00,10257557,186921,4621
7/24/2020 0:00,10257557,189472,4662
7/25/2020 0:00,10257557,191497,4711
7/26/2020 0:00,10257557,192632,4759
7/27/2020 0:00,10257557,195199,4804
7/28/2020 0:00,10257557,197625,4840
7/29/2020 0:00,10257557,199858,4882
7/30/2020 0:00,10257557,201883,4925
7/31/2020 0:00,10257557,203912,4966
8/1/2020 0:00,10257557,205511,5012
8/2/2020 0:00,10257557,206403,5053
8/3/2020 0:00,10257557,208496,5095
8/4/2020 0:00,10257557,210533,5148
8/5/2020 0:00,10257557,212474,5183
8/6/2020 0:00,10257557,214395,5220
8/7/2020 0:00,10257557,216468,5254
8/8/2020 0:00,10257557,217935,5291
8/9/2020 0:00,10257557,218818,5331
8/10/2020 0:00,10257557,220879,5377
8/11/2020 0:00,10257557,222457,5423
8/12/2020 0:00,10257557,223957,5458
8/13/2020 0:00,10257557,225355,5489
8/14/2020 0:00,10257557,226735,5523
8/15/2020 0:00,10257557,227909,5560
8/16/2020 0:00,10257557,228660,5599
8/17/2020 0:00,10257557,230230,5639
8/18/2020 0:00,10257557,231749,5669
8/19/2020 0:00,10257557,233016,5713
8/20/2020 0:00,10257557,234293,5751
8/21/2020 0:00,10257557,235528,5786
8/22/2020 0:00,10257557,236404,5828
8/23/2020 0:00,10257557,237065,5858
8/24/2020 0:00,10257557,238667,5885
8/25/2020 0:00,10257557,240032,5918
8/26/2020 0:00,10257557,241329,5945
8/27/2020 0:00,10257557,242339,5977
8/28/2020 0:00,10257557,243340,6001
8/29/2020 0:00,10257557,244153,6035
8/30/2020 0:00,10257557,244782,6068
8/31/2020 0:00,10257557,245920,6099
9/1/2020 0:00,10257557,247027,6128
9/2/2020 0:00,10257557,248117,6153
9/3/2020 0:00,10257557,249048,6178
9/4/2020 0:00,10257557,249911,6209
9/5/2020 0:00,10257557,250480,6232
9/6/2020 0:00,10257557,251015,6255
9/7/2020 0:00,10257557,251647,6283
9/8/2020 0:00,10257557,252695,6314
9/9/2020 0:00,10257557,253628,6343
9/10/2020 0:00,10257557,254501,6368
9/11/2020 0:00,10257557,255479,6394
9/12/2020 0:00,10257557,256158,6413
9/13/2020 0:00,10257557,256717,6432
9/14/2020 0:00,10257557,257870,6450
9/15/2020 0:00,10257557,258899,6471
9/16/2020 0:00,10257557,260008,6490
9/17/2020 0:00,10257557,260989,6509
9/18/2020 0:00,10257557,261932,6523
9/19/2020 0:00,10257557,262694,6541
9/20/2020 0:00,10257557,263318,6556
9/21/2020 0:00,10257557,264546,6572
9/22/2020 0:00,10257557,265632,6592
9/23/2020 0:00,10257557,266698,6622
9/24/2020 0:00,10257557,267717,6641
9/25/2020 0:00,10257557,268759,6658
9/26/2020 0:00,10257557,269553,6679
9/27/2020 0:00,10257557,270186,6700
9/28/2020 0:00,10257557,271366,6721
9/29/2020 0:00,10257557,272473,6732
9/30/2020 0:00,10257557,273688,6746
10/1/2020 0:00,10257557,274910,6759
10/2/2020 0:00,10257557,275958,6770
10/3/2020 0:00,10257557,276859,6782
10/4/2020 0:00,10257557,277566,6800
10/5/2020 0:00,10257557,278954,6816
10/6/2020 0:00,10257557,280051,6833
10/7/2020 0:00,10257557,281289,6853
10/8/2020 0:00,10257557,282473,6875
10/9/2020 0:00,10257557,283677,6888
10/10/2020 0:00,10257557,284812,6897
10/11/2020 0:00,10257557,285530,6913
10/12/2020 0:00,10257557,286966,6928
10/13/2020 0:00,10257557,288186,6948
10/14/2020 0:00,10257557,289467,6965
10/15/2020 0:00,10257557,290782,6979
10/16/2020 0:00,10257557,292067,7000
10/17/2020 0:00,10257557,293131,7012
10/18/2020 0:00,10257557,293885,7021
10/19/2020 0:00,10257557,295596,7038
10/20/2020 0:00,10257557,297081,7052
10/21/2020 0:00,10257557,298576,7066
10/22/2020 0:00,10257557,299917,7080
10/23/2020 0:00,10257557,301296,7101
10/24/2020 0:00,10257557,302382,7115
10/25/2020 0:00,10257557,303202,7132
10/26/2020 0:00,10257557,304766,7145
10/27/2020 0:00,10257557,306193,7163
10/28/2020 0:00,10257557,307581,7176
10/29/2020 0:00,10257557,309036,7194
10/30/2020 0:00,10257557,310664,7203
10/31/2020 0:00,10257557,312100,7218
11/1/2020 0:00,10257557,313479,7236
11/2/2020 0:00,10257557,316050,7249
11/3/2020 0:00,10257557,318398,7262
